date,price,tavg,tmin,tmax,prcp,wdir,wspd,pres
2/1/2015,18000,26.3,19,33,,,9.8,
2/12/2015,20000,25.6,21,32,,,10.2,
3/5/2015,20000,28.4,26,33,,149,13.5,
3/12/2015,20000,28.8,24,34,,123,13.2,
3/19/2015,18000,28.7,25,35,,,11.6,
3/26/2015,18000,30.5,25,36,,112,13.9,
4/2/2015,18000,29.7,27,34,,,9.6,
4/9/2015,18000,30.6,27,36,,,13,
4/16/2015,20000,29.4,26,34,,141,13.4,
4/30/2015,15000,30.4,27,35,,,9.5,
5/7/2015,15000,30.7,28,34,,181,11.5,
5/14/2015,10000,30.9,26,35,,,10.6,
5/21/2015,10000,31.3,27,37,,216,11.9,
5/28/2015,15000,30.2,26,37,,230,13.2,
6/4/2015,15000,30.4,26,35,,,7.3,
6/11/2015,15000,30.6,27,35,,,7.9,
6/18/2015,10000,27.9,25,32,,256,12.6,
6/25/2015,10000,28,24,31,,246,13.3,
1/7/2016,18000,28.6,25,34,,118,9.3,1013.3
4/4/2016,24000,29.6,27,34,,155,12.6,1010
4/6/2016,24000,29.4,27,34,,150,13.3,1010.1
4/7/2016,24000,29.7,27,34,,150,12.8,1010.2
4/8/2016,24000,30.1,27,34,,154,13.7,1009.9
4/11/2016,24000,30.4,28,35,,183,12.6,1007.9
4/12/2016,24000,30.4,28,36,,172,14.3,1007.3
4/14/2016,24000,31.2,28,37,,199,14.2,1008.3
4/15/2016,24000,31.3,28,37,,196,13.8,1009.1
5/4/2016,24000,32.2,29,37,,147,13.7,1008.4
5/6/2016,24000,31.4,29,37,,149,10.7,1007.9
5/13/2016,24000,32.6,29,37,,146,9.1,1007.5
5/17/2016,24000,29.3,25,37,,,8.6,1007.7
5/18/2016,24000,28.7,25,33,,,6.9,1008.5
5/19/2016,32000,29.3,27,34,,303,6.8,1007.5
5/20/2016,32000,30.8,27,35,,222,9,1006.8
5/24/2016,32000,28.4,26,35,,244,19.3,1007
5/25/2016,32000,30,26,34,,243,16.7,1006.4
6/2/2016,15000,30.8,27,35,,204,11.5,1008.5
6/3/2016,15000,28.9,27,35,,,10.2,1009
6/13/2016,20000,29.7,26,34,,245,9.1,1008.2
2/3/2017,32000,26.3,24,29,,,3.7,1010.6
2/6/2017,32000,27.4,24,32,,,8.8,1009.3
2/7/2017,32000,27.2,24,33,,,8.9,1009.5
2/8/2017,32000,27.8,24,32,,,7.5,1009.6
2/9/2017,32000,28.1,25,34,,,8,1009.7
2/10/2017,32000,26.8,24,33,,65,8.7,1010.8
2/13/2017,32000,26.8,21,33,,,7.3,1015.2
2/15/2017,32000,26.7,23,32,,46,10,1015
2/20/2017,32000,27.7,24,30,,,6.9,1009.5
2/21/2017,25000,28.6,25,33,,134,12.3,1010.7
2/22/2017,25000,28.8,26,34,,131,13.3,1010.5
2/23/2017,25000,28.2,26,33,,139,12.8,1011.3
2/24/2017,25000,28.4,25,33,,,10.7,1011.9
2/27/2017,25000,28.4,24,34,,,7,1010.3
3/1/2017,25000,28.8,25,33,,,6.5,1009.9
3/2/2017,25000,28,24,34,,,8.2,1009.9
3/3/2017,25000,27.3,23,32,,144,8,1008.8
3/7/2017,18000,27.6,25,33,,139,12.7,1009.7
3/13/2017,25000,28.8,25,34,,,8.7,1009.5
