date,price,RON 95-III,
2/1/2019,40000,17.6,
2/2/2019,40000,17.6,
2/3/2019,40000,17.6,
2/4/2019,40000,17.6,
2/5/2019,40000,17.6,
2/6/2019,40000,17.6,
2/7/2019,40000,17.6,
2/8/2019,40000,17.6,
2/9/2019,40000,17.6,
2/10/2019,40000,17.6,
2/11/2019,40000,17.6,
2/12/2019,35000,17.6,
2/13/2019,35000,17.6,
2/14/2019,35000,17.6,
2/15/2019,35000,17.6,
2/16/2019,35000,17.6,
2/17/2019,35000,17.6,
2/18/2019,35000,17.6,
2/19/2019,35000,17.6,
2/20/2019,35000,17.6,
2/21/2019,35000,17.6,
2/22/2019,35000,17.6,
2/23/2019,35000,17.6,
2/24/2019,35000,17.6,
2/25/2019,35000,17.6,
2/26/2019,35000,17.6,
2/27/2019,35000,17.6,
2/28/2019,35000,17.6,
3/1/2019,35000,17.6,
3/2/2019,35000,18.54,
3/3/2019,35000,18.54,
3/4/2019,35000,18.54,
3/5/2019,35000,18.54,
3/6/2019,35000,18.54,
3/7/2019,35000,18.54,
3/8/2019,35000,18.54,
3/9/2019,35000,18.54,
3/10/2019,35000,18.54,
3/11/2019,35000,18.54,
3/12/2019,35000,18.54,
3/13/2019,35000,18.54,
3/14/2019,35000,18.54,
3/15/2019,35000,18.54,
3/16/2019,35000,18.54,
3/17/2019,35000,18.54,
3/18/2019,35000,18.54,
3/19/2019,35000,18.54,
3/20/2019,35000,18.54,
3/21/2019,35000,18.54,
3/22/2019,35000,18.54,
3/23/2019,35000,18.54,
3/24/2019,35000,18.54,
3/25/2019,35000,18.54,
3/26/2019,35000,18.54,
3/27/2019,35000,18.54,
3/28/2019,35000,18.54,
3/29/2019,35000,18.54,
3/30/2019,35000,18.54,
3/31/2019,35000,18.54,
4/1/2019,35000,18.54,
4/2/2019,35000,20.03,
4/3/2019,35000,20.03,
4/4/2019,35000,20.03,
4/5/2019,35000,20.03,
4/6/2019,35000,20.03,
4/7/2019,35000,20.03,
4/8/2019,35000,20.03,
4/9/2019,35000,20.03,
4/10/2019,35000,20.03,
4/11/2019,35000,20.03,
4/12/2019,35000,20.03,
4/13/2019,35000,20.03,
4/14/2019,35000,20.03,
4/15/2019,35000,20.03,
4/16/2019,35000,20.03,
4/17/2019,35000,21.23,
4/18/2019,35000,21.23,
4/19/2019,35000,21.23,
4/20/2019,35000,21.23,
4/21/2019,35000,21.23,
4/22/2019,36000,21.23,
4/23/2019,36000,21.23,
4/24/2019,36000,21.23,
4/25/2019,36000,21.23,
4/26/2019,36000,21.23,
4/27/2019,36000,21.23,
4/28/2019,36000,21.23,
4/29/2019,36000,21.23,
4/30/2019,36000,21.23,
5/1/2019,36000,21.23,
5/2/2019,36000,22.19,
5/3/2019,36000,22.19,
5/4/2019,36000,22.19,
5/5/2019,36000,22.19,
5/6/2019,36000,22.19,
5/7/2019,36000,22.19,
5/8/2019,36000,22.19,
5/9/2019,36000,22.19,
5/10/2019,36000,22.19,
5/11/2019,36000,22.19,
5/12/2019,36000,22.19,
5/13/2019,30000,22.19,
5/14/2019,30000,22.19,
5/15/2019,30000,22.19,
5/16/2019,30000,22.19,
5/17/2019,30000,21.59,
5/18/2019,30000,21.59,
5/19/2019,30000,21.59,
5/20/2019,30000,21.59,
5/21/2019,30000,21.59,
5/22/2019,30000,21.59,
5/23/2019,30000,21.59,
5/24/2019,30000,21.59,
5/25/2019,30000,21.59,
5/26/2019,30000,21.59,
5/27/2019,30000,21.59,
5/28/2019,30000,21.59,
5/29/2019,30000,21.59,
5/30/2019,30000,21.59,
5/31/2019,30000,21.59,
6/1/2019,30000,21.21,
6/2/2019,30000,21.21,
6/3/2019,30000,21.21,
6/4/2019,30000,21.21,
6/5/2019,30000,21.21,
6/6/2019,30000,21.21,
6/7/2019,32000,21.21,
6/8/2019,32000,21.21,
6/9/2019,32000,21.21,
6/10/2019,32000,21.21,
6/11/2019,32000,21.21,
6/12/2019,32000,21.21,
6/13/2019,32000,21.21,
6/14/2019,32000,21.21,
6/15/2019,32000,21.21,
6/16/2019,32000,21.21,
6/17/2019,32000,20.13,
6/18/2019,32000,20.13,
6/19/2019,32000,20.13,
6/20/2019,32000,20.13,
6/21/2019,32000,20.13,
6/22/2019,32000,20.13,
6/23/2019,32000,20.13,
6/24/2019,32000,20.13,
6/25/2019,32000,20.13,
6/26/2019,32000,20.13,
6/27/2019,32000,20.13,
6/28/2019,32000,20.13,
6/29/2019,32000,20.13,
6/30/2019,32000,20.13,
2/1/2020,32000,20.12,
2/2/2020,32000,20.12,
2/3/2020,32000,20.12,
2/4/2020,32000,20.12,
2/5/2020,25000,20.12,
2/6/2020,25000,20.12,
2/7/2020,25000,20.12,
2/8/2020,25000,20.12,
2/9/2020,25000,20.12,
2/10/2020,25000,20.12,
2/11/2020,25000,20.12,
2/12/2020,25000,20.12,
2/13/2020,25000,20.12,
2/14/2020,25000,19.38,
2/15/2020,25000,19.38,
2/16/2020,25000,19.38,
2/17/2020,25000,19.38,
2/18/2020,22000,19.38,
2/19/2020,22000,19.38,
2/20/2020,22000,19.38,
2/21/2020,22000,19.38,
2/22/2020,22000,19.38,
2/23/2020,22000,19.38,
2/24/2020,22000,19.38,
2/25/2020,25000,19.38,
2/26/2020,25000,19.38,
2/27/2020,25000,19.38,
2/28/2020,25000,19.38,
2/29/2020,25000,19.12,
3/1/2020,25000,19.12,
3/2/2020,25000,19.12,
3/3/2020,25000,19.12,
3/4/2020,25000,19.12,
3/5/2020,25000,19.12,
3/6/2020,25000,19.12,
3/7/2020,25000,19.12,
3/8/2020,25000,19.12,
3/9/2020,25000,19.12,
3/10/2020,25000,19.12,
3/11/2020,25000,19.12,
3/12/2020,25000,19.12,
3/13/2020,25000,19.12,
3/14/2020,25000,19.12,
3/15/2020,25000,16.81,
3/16/2020,25000,16.81,
3/17/2020,25000,16.81,
3/18/2020,25000,16.81,
3/19/2020,25000,16.81,
3/20/2020,25000,16.81,
3/21/2020,25000,16.81,
3/22/2020,25000,16.81,
3/23/2020,25000,16.81,
3/24/2020,25000,16.81,
3/25/2020,25000,16.81,
3/26/2020,22000,16.81,
3/27/2020,22000,16.81,
3/28/2020,22000,16.81,
3/29/2020,22000,12.56,
3/30/2020,20000,12.56,
3/31/2020,20000,12.56,
4/1/2020,20000,12.56,
4/2/2020,20000,12.56,
4/3/2020,12000,12.56,
4/4/2020,12000,12.56,
4/5/2020,12000,12.56,
4/6/2020,10000,12.56,
4/7/2020,10000,12.56,
4/8/2020,10000,12.56,
4/9/2020,18000,12.56,
4/10/2020,18000,12.56,
4/11/2020,18000,12.56,
4/12/2020,18000,12.56,
4/13/2020,18000,11.93,
4/14/2020,18000,11.93,
4/15/2020,18000,11.93,
4/16/2020,18000,11.93,
4/17/2020,18000,11.93,
4/18/2020,18000,11.93,
4/19/2020,18000,11.93,
4/20/2020,16000,11.93,
4/21/2020,16000,11.93,
4/22/2020,16000,11.93,
4/23/2020,16000,11.93,
4/24/2020,16000,11.93,
4/25/2020,16000,11.93,
4/26/2020,16000,11.93,
4/27/2020,18000,11.93,
4/28/2020,18000,11.63,
4/29/2020,18000,11.63,
4/30/2020,18000,11.63,
5/1/2020,18000,11.63,
5/2/2020,18000,11.63,
5/3/2020,18000,11.63,
5/4/2020,22000,11.63,
5/5/2020,22000,11.63,
5/6/2020,22000,11.63,
5/7/2020,18000,11.63,
5/8/2020,18000,11.63,
5/9/2020,18000,11.63,
5/10/2020,18000,11.63,
5/11/2020,18000,11.63,
5/12/2020,18000,11.63,
5/13/2020,20000,12.23,
5/14/2020,20000,12.23,
5/15/2020,25000,12.23,
5/16/2020,25000,12.23,
5/17/2020,25000,12.23,
5/18/2020,25000,12.23,
5/19/2020,25000,12.23,
5/20/2020,25000,12.23,
5/21/2020,25000,12.23,
5/22/2020,25000,12.23,
5/23/2020,25000,12.23,
5/24/2020,25000,12.23,
5/25/2020,25000,12.23,
5/26/2020,25000,12.23,
5/27/2020,25000,12.23,
5/28/2020,28000,13.12,
5/29/2020,28000,13.12,
5/30/2020,28000,13.12,
5/31/2020,28000,13.12,
6/1/2020,28000,13.12,
6/2/2020,28000,13.12,
6/3/2020,28000,13.12,
6/4/2020,28000,13.12,
6/5/2020,28000,13.12,
6/6/2020,28000,13.12,
6/7/2020,28000,13.12,
6/8/2020,28000,13.12,
6/9/2020,28000,13.12,
6/10/2020,28000,13.12,
6/11/2020,28000,13.12,
6/12/2020,28000,13.12,
6/13/2020,28000,13.12,
6/14/2020,28000,14.08,
6/15/2020,20000,14.08,
6/16/2020,20000,14.08,
6/17/2020,20000,14.08,
6/18/2020,20000,14.08,
6/19/2020,20000,14.08,
